,"Journal Data Filtered By:  Selected JCR Year: 2013 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY' Selected Category Scheme: WoS",,,Software and code in journals?,,,,,,,,,,,,,,
Rank,Full Journal Title,Publisher,URL,Special Section?,Aims and Scope?,Author instructions?,Creation of software?,Require computer code with publication?,Require data release with publication?,Interactive graphs?,Types of interactive graphs,Additional content innovations…,Title of software section,Date software section started,Average number of software articles per year,Types of software,Languages of software?,Software is open source?
1,TRENDS IN ECOLOGY & EVOLUTION,Cell Press,http://www.cell.com/trends/ecology-evolution/home,No,0,0,0,No,No,No,,,,,,,,
2,ECOLOGY LETTERS (The French National Center for Research - CNRS),Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291461-0248,No,0,1,0,No,Yes,No,,,,,,,,
3,Annual Review of Ecology Evolution and Systematics,Annual Reviews,http://www.annualreviews.org/journal/ecolsys,No,0,6,0,No,No,No,,,,,,,,
4,ISME Journal (International Society for Microbial Ecology),Nature Publishing Group,http://www.nature.com/ismej/index.html,No,0,3,0,No,Yes,No,,,,,,,,
5,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT (Ecological Society of America),Ecological Society of America,http://www.frontiersinecology.org/front/,No,0,2,0,No,No,No,,,,,,,,
6,GLOBAL CHANGE BIOLOGY,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291365-2486,No,0,1,0,No,Yes,No,,,,,,,,
7,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291466-8238,Yes,0,4,1,No,No - strongly encouraged,No,,,Macroecological methods,,,,,
8,ECOLOGICAL MONOGRAPHS (Ecological Society of America),Ecological Society of America,http://esapubs.org/esapubs/journals/monographs.htm,No,0,6,6,Yes,Yes,No,,,,,,,,
9,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,,,,,,,,,,,,,,,,,
10,Advances in Ecological Research,,,,,,,,,,,,,,,,,
11,MOLECULAR ECOLOGY,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291365-294X,No,0,3,2,Yes,Yes,No,,,,,,,,
12,JOURNAL OF ECOLOGY (British Ecological Society),Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291365-2745,No,0,2,0,Yes - models only,Yes,No,,,,,,,,
13,Molecular Ecology Resources,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291755-0998,Yes,1,9,8,Yes,Yes,No,,,Computer Programs,,,,,
14,DIVERSITY AND DISTRIBUTIONS,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291472-4642,No,0,3,1,No,No - encouraged,No,,,,,,,,
